Time,Row,Column,SitesChecked,CohortsKilled,Severity,SitesEventchap,SitesEventoaks,SitesEventcss,BurnedSites,
37, 125, 327, 147, 669, 4.76190476190476, 121, 15, 11, 147, 
37, 125, 348, 717, 5803, 4.76150627615063, 628, 34, 55, 717, 
37, 159, 4, 836, 8985, 4.4366028708134, 510, 282, 44, 836, 
37, 250, 362, 922, 2392, 4.77331887201735, 757, 101, 64, 922, 
37, 302, 188, 1860, 3824, 3.56397849462366, 1739, 23, 98, 1860, 
38, 87, 178, 3133, 4906, 3.3080114905841, 2741, 240, 152, 3133, 
38, 94, 258, 416, 903, 5, 267, 0, 149, 416, 
39, 197, 324, 3071, 4739, 3.21947248453273, 2697, 193, 181, 3071, 
39, 306, 320, 829, 7584, 4.86972255729795, 756, 0, 73, 829, 
40, 51, 134, 2, 4, 2, 2, 0, 0, 2, 
40, 171, 295, 1591, 3491, 4.26712759270899, 1425, 33, 133, 1591, 
40, 226, 185, 1, 2, 4, 1, 0, 0, 1, 
41, 22, 153, 1, 1, 2, 1, 0, 0, 1, 
41, 35, 313, 227, 582, 4.01321585903084, 68, 114, 45, 227, 
41, 47, 259, 429, 5371, 4.16083916083916, 149, 149, 131, 429, 
41, 271, 70, 1327, 1956, 4.12735493594574, 1302, 6, 19, 1327, 
41, 291, 291, 1733, 4123, 3.73744950952106, 1655, 5, 73, 1733, 
42, 6, 186, 1435, 1999, 3.0801393728223, 1255, 14, 166, 1435, 
42, 20, 168, 305, 365, 2.14754098360656, 288, 2, 15, 305, 
42, 131, 27, 300, 492, 4.29666666666667, 201, 83, 16, 300, 
42, 160, 127, 1225, 1559, 4.03265306122449, 990, 197, 38, 1225, 
42, 259, 157, 649, 1083, 3.98767334360555, 560, 55, 34, 649, 
43, 75, 130, 2, 4, 2, 2, 0, 0, 2, 
43, 168, 338, 4, 5, 1.75, 1, 0, 3, 4, 
43, 189, 93, 609, 2198, 4.10673234811166, 440, 148, 21, 609, 
43, 270, 282, 156, 284, 3.6474358974359, 101, 0, 55, 156, 
44, 23, 165, 2, 3, 2, 2, 0, 0, 2, 
44, 26, 338, 121, 2364, 4.94214876033058, 41, 7, 73, 121, 
44, 192, 264, 893, 1337, 4.19260918253079, 782, 51, 60, 893, 
44, 198, 347, 379, 566, 3.9023746701847, 319, 5, 55, 379, 
44, 207, 22, 1307, 26211, 4.7008416220352, 984, 268, 55, 1307, 
44, 215, 323, 17, 25, 2.23529411764706, 17, 0, 0, 17, 
44, 253, 186, 111, 154, 4.07207207207207, 111, 0, 0, 111, 
44, 259, 222, 453, 671, 4.94701986754967, 440, 13, 0, 453, 
44, 283, 211, 115, 158, 3.11304347826087, 97, 0, 18, 115, 
44, 301, 75, 4485, 6837, 3.94358974358974, 4451, 4, 30, 4485, 
45, 33, 334, 123, 2519, 4.30894308943089, 36, 67, 20, 123, 
45, 42, 362, 1, 39, 4, 0, 1, 0, 1, 
45, 65, 332, 238, 446, 4.36974789915966, 116, 67, 55, 238, 
